Adam	n. 亚当
gown	n. 宽松长袍|n. 女式长裙|n. 职业或学术礼袍|n. 大学群体|n. 男士室内长袍|n. 外科医生手术袍|v. 给……穿长袍|n. 服装或装束
gpa	n. 平均绩点|n. 肉芽肿性多血管炎|n. GMP支付年龄
gpas	盖氏人格评估系统学说
gps	n. 卫星定位系统|v. 用GPS定位|n. GPS接收器|n. Goodpasture综合征
grab	n. 突然一抓|v. 突然抓住|v. 赶紧拿取|n. 强行夺取|n. 抓取机械|n. 抓取装置|n. 新闻短片|n. Grab 叫车|v. 伸手去抓|v. 抓住并控制；逮捕|v. 吸引注意力|v. 快速吃喝
grace	n. 优雅的魅力|n. 动作的优美与从容|v. 给……增添光彩|n. 餐前或餐后祷告|n. 宽限期|n. 上帝的恩典|v. 给予尊荣|v. 赐予神恩|n. 纸牌游戏中的特殊着法|n. 装饰音|n. 大学管理机构的决议|n. 宽恕与赦免
graceful	adj. 动作或形态优美|adj. 宽厚而得体|adj. 平稳而不造成突变
gracious	adj. 亲切有礼|adj. 优雅迷人|adj. 圆通得体|adj. 体恤宽厚|adj. 宽容迁就|adj. 大方地接受|adj. 仁厚慈善|intj. 天哪；真受不了
grade	n. 等级；评级|n. 考试成绩；分数|n. 程度；档次|v. 给……评分|n. 坡度|n. 年级|n. 地面高度|n. 肿瘤恶性程度等级|v. 分级；分类|v. 整平；平整土地|v. 给数据标级|n. 比较级别
gradual	adj. 逐渐的；渐进的|n. 弥撒中的应唱经文|n. 弥撒歌书
gradually	adv. 逐渐；逐步|adv. 逐步地
graduate	adj. 已获得学位的|adj. 研究生阶段的；学位相关的|n. 大学毕业生|v. 毕业|adj. 分级的；按阶段排列的|n. 高中毕业生|v. 从某校毕业|v. 使获得学位；授予毕业资格|v. 标出刻度；分成等级|v. 逐渐变成；渐变|v. 逐步调整；分级安排|n. 完成某教育阶段的人
graduation	n. 毕业；毕业过程|n. 毕业典礼|n. 离开团体|n. 刻度；刻度线|n. 液体摊晾蒸发处理
graffiti	n. 公共场所的涂写|v. 在表面上涂写|n. 历史上的非正式刻写
graham	n. 含麦麸的全麦面粉|n. 格雷厄姆甜饼干
grain	n. 谷物；粮食|n. 纹理方向|n. 微小颗粒|n. 其他粮食作物的籽粒|n. 一粒谷物|n. 谷物作物|n. 皮革表面纹理|n. 胶片颗粒感|n. 历史重量单位|n. 旧制重量单位|n. 历史长度单位|n. 克拉分度单位
gram	n. 克|n. 豆科植物|n. 豆类种子|n. 奶奶；外婆|n. 留声机录音|n. graham 的误拼
grammar	n. 一种语言的语法系统|n. 语法；语言结构规则|n. 规范用法观念|n. 语法书|n. 某领域的基本规则|n. 形式句法系统|n. 形式语言规则系统|n. 规则教科书|n. 文法学校的简称|n. 模式组合规则|v. 按语法规则说话
grammatical	adj. 合乎语法的|adj. 语法的；与语法有关的
gramme	n. 克
grand	adj. 宏大的；等级高的；程度强的|adj. 亲属关系隔一代的|n. 一千元（或一千英镑等）|adj. 很好的；棒的|n. 三角钢琴|n. 祖辈或孙辈|adj. 形式完整齐全的|n. 每分钟一千转
grandchild	n. 孙辈；孙子或孙女
grandma	n. 祖母；外祖母|v. 称作“grandma”|v. 像祖母一样照料
grandmother	n. 祖母；外祖母|n. 女性祖先|n. 死藤水的尊称
grandmotherly	a. 老祖母的, 唠叨的, 溺爱的, 慈祥的, 老祖母似的
grandparent	n. 祖父母；外祖父母|v. 充当祖父母
granite	n. 花岗岩|n. 坚硬顽强；冷硬
grannie	n. 奶奶, 老奶奶, 老婆婆, 外婆, 婆婆妈妈的人, 唠叨挑剔的人, 接生婆
granny	n. 祖母；奶奶|adj. 老派的；老奶奶风格的|n. 年长女性|v. 成为祖母|v. 像老奶奶一样操心；絮叨|n. 会引开小羊的老母羊|n. granny knot的省略说法|n. 总决赛
grant	n. 资助金；授予物|v. 准许；批准|n. 授予|n. 让步；承认|n. 法律上的财产转让|n. 转让文书|n. 资助申请|v. 授予；给予|v. 承认；姑且同意|v. 同意；答应|n. 五十美元钞票
grape	adj. 葡萄味的；含葡萄的|n. 葡萄|adj. 深紫红色的|n. 葡萄藤|n. 葡萄色；深紫红色|v. 采摘葡萄|n. 类似葡萄的其他果实或植物|n. 葡萄弹；葡萄霰弹的简称|n. 马腿上的疥癣性肿瘤|n. 负责给飞机加油的紫衣技术员|n. 脑袋|n. 敏感词的网络规避拼写
graph	n. 数据图表|v. 绘制成图|n. 函数图像|n. 点线网络结构|v. 绘制函数图像|n. 拓扑图空间|n. 映射的图|n. 字符的实际字形
graphic	adj. 图画的；图像的|adj. 描写生动而直白的|n. 图画；图像|n. 电脑图像；游戏画面|adj. 具图纹状纹理的|n. 一种蛾
grapple	n. 徒手扭打|v. 抓住并牢牢控制|v. 徒手扭打|v. 艰难处理问题|n. 扭打行为|n. 带爪抓取工具|n. 葡萄苹果混合风味|v. 用钩工具固定或连接|v. 借助钩索攀爬|v. 使用抓钩搜寻|v. 用抓钩钩起
grasp	n. 抓力；掌握|n. 理解；领会|v. 抓住；握住|v. 理解；领会|n. 可获得的范围；把握|v. 抓住机会；把握机会
grass	n. 草；草本植物|n. 草坪|v. 铺草；用草覆盖|n. 类似草的植物|n. 户外现实生活|n. 大麻|n. 告密者|v. 告密；出卖|v. 用草喂养|n. 示波管上的干扰纹|n. 雷达显示噪声|n. 青草季节
grassland	n. 草地；草原
grassroots	adj. 基层的；草根民众的
grateful	adj. 感激的；感谢的|adj. 令人愉快的；合意的
gratification	n. 满足感；愉悦|n. 满足欲望的行为|n. 酬金；奖励
gratify	vt. 使满足
gratitude	n. 感激；感谢之情
grave	adj. 严肃庄重的|adj. 严重的；重大的|n. 坟墓|adj. 低沉的|n. 埋葬地点|n. 死亡；毁灭|n. 重音符号|adj. 口腔后部发音的|adj. 有影响力且庄重的|n. 藏有尸体的地方|n. 死者|n. 历史官员或伯爵
gravel	n. 碎石；砾石|v. 铺碎石|n. 某种规格的碎石|n. 砾石路骑行|v. 使困惑；使烦恼|v. 使不知所措|n. 地质学中的砾石颗粒|n. 结石；结石病|n. 马蹄脓肿导致的跛行|n. 夜盲症|n. 一种兴奋剂的俚称|v. 搁浅；卡在沙石中
graveyard	n. 墓地；墓园|n. 牌类游戏中的弃牌区|n. 被淘汰事物的最终去处|n. 清晨极早、十分冷清的时段|n. 混合饮料（美国俚语）
gravitate	v. 受重力移动|v. 自然趋向；被吸引到
gravitation	n. 引力, 重力, 沉下
gravity	n. 重量；沉重|n. 严重性；严肃性|n. 重力|n. 低音；低沉音调|n. 万有引力；引力|n. 引力理论；引力定律|n. 比重；相对密度
gray	adj. 灰色的|n. 灰色|v. 变灰|adj. 阴沉的；沉闷的|adj. 模糊的；有争议的|adj. 头发灰白的|adj. 年老的|adj. 与老年人有关的|n. 灰色动物或东西|v. 逐渐老龄化|n. 灰鲸|n. 灰人
graze	n. 轻微擦伤|v. 吃草；在草地上觅食|v. 擦着表面经过|n. 轻擦；擦伤这一动作|n. 放牧；吃草|v. 让牲畜吃草；供牲畜放牧|v. 少量多次地吃|v. 使轻微擦伤|v. 照料放牧中的牲畜|v. 边购物边偷吃未付款食品|v. 长出可供放牧的草
gre	n. GRE 研究生入学考试|n. gree 的旧形式
grease	n. 动物油脂|n. 油脂；油污|v. 涂油；润滑|n. 钱（俚语）|v. 用钱打通关节|v. 使顺利进行|n. 未洗羊毛|n. 马后踝炎|v. 平稳着陆|v. 杀死|v. 发生性关系|v. 欺骗；占便宜
great	adj. 大的|adj. 很棒的|adj. 重要的|intj. 太好了|adj. 特别大的|adj. 隔着多代的|adj. 伟大而令人敬佩的|adj. 引人注目的|adj. 杰出的|adj. 非常热衷的|adv. 很好地|intj. 真棒啊（反讽）
great-grandparent	n. 曾祖父母；外曾祖父母
great-great-grandparent	n. 曾祖父母的父母
greatly	adv. 极大地；非常|adv. 高尚而慷慨地
greatness	n. 伟大；卓越；宏大|n. 傲慢；自大
gree	n. 格力（品牌名）
greedy	adj. 贪婪的；贪得无厌的|adj. 贪吃的|adj. 尽可能多匹配的|adj. 每步取局部最优的|adj. 贪恋地追求的
greek	adj. 希腊的；希腊人的；希腊语的|n. 希腊人|adj. 难懂的；像天书的|adj. 大学兄弟会或姐妹会的|n. 希腊菜|n. 听不懂的话；难懂的术语|n. 兄弟会或姐妹会成员|n. 占位用的无意义文字|n. 狡猾的无赖|n. 快活的人|n. 肛交|n. 衍生品价格敏感度指标
greeks	n. 衍生品的敏感度指标|v. Greek 的第三人称单数现在时|v. greek 的第三人称单数现在时
green	adj. 绿色的|adj. 缺乏经验的|n. 绿色|v. 使变绿|adj. 脸色难看；不舒服|adj. 未成熟的|adj. 充满活力的；新鲜的|adj. 天真的；不了解情况的|adj. 嫉妒的|adj. 环保的|adj. 绿党或环保主义的|adj. 绿党的
greengrocer	n. 蔬菜水果商, 菜贩
greenhouse	n. 温室|v. 放进温室培育|n. 全球气候高温状态|v. 培育、扶植|n. 飞机座舱玻璃罩|n. 手术台防菌罩
greenwash	漂绿
greet	v. 迎接；问候|v. 映入眼帘；被感受到|adj. 古旧：伟大的|n. 古旧：哭泣、哀悼|v. 迎面来到；到达|v. 向……搭话；称呼|v. 互相问候|v. 方言：哭泣
greeting	n. 问候语|n. 问候，致意|v. greet的现在分词和动名词
grenier	n. (Grenier)人名；(西)格雷涅尔；(法)格勒尼耶；(英、德)格雷尼尔
grey	adj. 灰色的|n. 灰色；灰色的东西|v. 变灰；使变灰|adj. 有黑人和白人混合血统的|n. 皇家苏格兰灰骑兵团成员
grey-haired	adj. 头发灰白的|adj. 年长而老练的
grief	n. 悲痛；哀伤|n. 困苦；麻烦|n. 令人悲伤或痛苦的事情|v. （游戏中）故意捣乱
grievance	n. 遭受的不公或困难|n. 受委屈后的不满和怨气|n. 令人痛苦或烦恼的事|n. 抱怨或烦心事|n. 正式申诉|n. 违规或不当行为
grieve	v. 使悲痛|v. 为……悲痛；哀悼|v. 经历悲痛|n. 地方官|n. 管事；农场管理人|v. 伤害|v. 提出申诉
grim	adj. 阴沉严峻的|adj. 冷硬而不屈的|adj. 阴森可怕的|adj. 恶心糟糕的|adj. 凶狠残酷的|n. 滥交的女性|n. 愤怒|n. 幽灵|v. 使变得阴沉严厉
grimly	adv. 严格地, 冷酷地, 可怕地
grin	n. 露齿的笑容|v. 露齿笑|v. 用咧嘴笑表达情绪|v. 咧嘴做出某种笑脸|n. 陷阱；套索|v. 像龇牙的动物一样露齿
grind	n. 研磨；磨削|n. 枯燥苦差事|v. 磨碎|v. 磨制成形或磨利|v. 努力工作或学习|n. 磨成的粉末|n. 咖啡研磨度|n. 滑板或滑雪板的摩擦滑行动作|n. 持续苦干；奔波赚钱|v. 用磨料磨去材料|v. 被磨碎或磨光|v. 艰难摩擦着移动；发出刺耳摩擦声
grip	n. 抓握；握法|n. 摩擦力；抓地力|n. 控制；掌控|v. 抓紧；握牢|v. 控制；着手处理|n. 握把；抓握处|n. 抓持装置|n. 理解力；理智|n. 手提旅行包|n. 拖动控制点|v. 强烈影响|v. 牢牢吸引注意力
groan	n. 痛苦或悲伤的呻吟|v. 呻吟；发出低沉的声音|n. 不满或强烈感受的低沉声音|n. 受压时的吱嘎声|v. 因承重而吱嘎作响；塞满|v. 苦苦追求；竭力争取
grocer	n. 杂货商；食品和日用品零售商|v. 经营杂货生意
grocery	n. 食品和日用品等杂货|n. 杂货店|v. 购买杂货|v. 供应杂货
groom	n. 新郎|n. 马夫；马匹护理员|v. 打理仪容|v. 护理动物|n. 梳理；清洁护理|v. 为活动作准备|v. 培养接班人|v. 整理并排序待办事项|v. 压实并整理雪道|n. 宫廷侍从|n. 仆人；普通男子|v. 诱导并伺机剥削
grope	v. 摸索|n. 摸索
gross	adj. 恶劣的；严重失当的|adj. 总的；未扣除的|adj. 令人恶心的|n. 总额；毛额|v. 收入总额达到|adj. 肉眼可见的；大体的|adj. 粗俗的；有失道德的|n. 主体；大部分|adj. 粗糙的；不精致的|adj. 厚重的；稠密的|adj. 肥胖的；体形臃肿的|adj. 浓重得难以透视的
ground	adj. 研磨成颗粒的|n. 地面|n. 基础；依据|v. 罚禁外出|adj. 经过研磨处理的|n. 地形|n. 土壤；泥土|n. 水底|n. 理由；根据|n. 背景；环境|n. 战场；争夺的地盘|n. 优势；进展
ground-based	adj. 陆基的; 以地面为基础的
ground-breaking	adj. 开创性的；突破性的|n. 破土动工仪式
groundbreaking	adj. 开创性的；前所未有的|n. 破土动工；开始施工|n. 奠基仪式
grounding	n. 基础知识|n. 船只搁浅|n. 电气接地|n. 罚孩子禁足|v. ground 的现在分词或动名词|n. 恢复清醒|n. 禁飞|n. 意念接地|n. 刺绣底布
groundless	a. 无根据的, 无理由的
groundwork	n. 基础；准备工作
group	n. 组；群；一组人或物|v. 把……分组|n. 群；群论中的群|n. 音乐团体|n. 社会群体|n. 比赛分组|n. 企业集团|v. 聚成一组|n. 曲线上的除子|n. 星系群|n. 元素周期表中的族|n. 官能团
grouping	n. 一组；组合体|n. 分组；归类|n. 弹着点集中区域|v. 正在分组；分组
grow	v. 变大；增加|v. 成长；成熟|v. 种植；培育|v. 生长于；存在于|v. 长出；萌发|v. 逐渐变得|v. 黏住；固定住
grower	n. 种植者|n. 长得快的东西|n. 越接触越喜欢的作品或事物|n. 勃起后明显变大的阴茎
growl	n. 动物的低吼|v. 低吼|n. 人的低吼声|n. 肚子的隆隆声|n. 不满的低声嘟囔|v. 低吼着说出|n. 乐器的低沉隆隆声|n. 死亡咆哮唱法|v. 乐器发出低沉音色|v. 发送软件通知|v. 用乐器吹出低吼音色|v. 进行死亡咆哮演唱
grown-up	adj. 已成年的|n. 成年人|adj. 成人的；适合成年人的|adj. 思想成熟的
grownup	n. 成年人
growth	n. 增长；增加|n. 心理成长|n. 经济增长|n. 生长；长大|n. 生长物；长出来的东西|n. 异常肿块
guarantee	n. 保证；承诺|v. 保证会做到|v. 使……确定|n. 法律担保；保证责任|n. 产品保修|v. 为债务担保|n. 保证的接受者|n. 保证人；担保人
guard	n. 守卫；护卫人员或物件|n. 警戒；防备状态|v. 保护；防卫|v. 提防；保持警惕|n. 爱尔兰警察|n. 护卫队|n. 护卫队（复数用法）|n. 剑格|n. 机器防护罩|n. 护具|n. 篮球后卫|n. 担任 guard 位置的球员
guardian	n. 守护者；保护人|n. 未成年人的法定监护人|n. 无行为能力者的法定监护人|n. 守关首领；关底敌人|n. 方济各会修道院的上级|n. 美国太空军军人
guardianship	n. 监护身份；监护职责
guarding	n. 守护、警戒的职责|v. 正在守护；守护这一行为|n. 防护栏|n. 防卫性肌肉紧张
guess	n. 猜测；估计|v. 猜测；推测|v. 猜中；猜对|v. 猜想；估计|v. 我想；我觉得|v. 凭记忆复述
guesswork	n. 凭猜测作出的判断
guest	n. 受邀的客人|n. 酒店住客；顾客|n. 受邀嘉宾|n. 系统临时用户|v. 作为嘉宾出现|v. 客座演奏|n. 非寄生性巢居昆虫|n. 巢居者|v. 接待；款待
guidance	n. 引导过程|n. 建议与咨询|n. 制导系统
guide	n. 向导；导游|n. 指南；指导手册|v. 带领；引导|n. 指示牌；引导标志|n. 提示标记|n. 图例|n. 导向部件|v. 驾驶；操舵|v. 影响；掌控|v. 指导训练|v. 担任向导|n. 印刷导向装置
guideline	n. 指导原则|n. 行动指引|n. 排字辅助线|v. 制定指引
guild	n. 行业行会|n. 正式组织或法人团体|n. 生态学中的共同特征物种群|n. 多人游戏公会
guilt	n. 过错责任|n. 内疚感|n. 法律上的有罪状态|v. 用内疚感迫使|adj. 过时：镀金的|v. 过时：犯罪
guilty	adj. 对不诚实行为负有责任|adj. 感到内疚的|n. 有罪答辩|n. 有罪判决|adj. 被判定犯有罪行|adj. 应受责备的|n. 被宣布有罪的人
guinea	n. 英国旧金币|n. 珍珠鸡|n. 针对意大利裔人士的美国贬称
guitar	n. 吉他|n. 吉他类弦乐器|v. 弹吉他
gulf	n. 海湾|n. 鸿沟；间隔|n. 巨大差距|n. 深渊；深坑|v. 吞没；卷入|n. 吞咽处；喉咙|n. 吞没处；漩涡|n. 矿脉中的大型矿藏|n. 勉强及格者所在的学位名单末位|v. 使勉强及格者获得学位
gum	n. 牙龈|n. 口香糖|n. 植物树胶|n. 类似树胶的黏性物质|n. 一块口香糖|n. 桉树等树胶树|v. 涂胶使黏住|v. 使卡住、失灵|n. 软糖|n. 简易蜂箱|n. 空心木容器|n. 橡胶套鞋
gun	n. 枪；炮|v. 使加速|v. 全力支持|n. 炮声；枪炮的拟人化指代|n. 扳机式发射器|n. 枪手|n. 肱二头肌|v. 努力争取|v. 针对；企图攻击|n. 大浪冲浪板|n. 图案发射器|n. 电子枪
gunpowder	n. 火药|n. 火药茶|n. 印度辣味香料粉|v. 用火药炸毁
gurn	[人名] 古恩
gurner	[人名] 格纳
gustav	n. 冠军
gut	adj. 凭直觉的|n. 肠道；肠胃|n. 内在直觉|v. 摧毁内部；掏空核心|adj. 肠衣制的|n. 肚子；腹部|n. 肠衣|n. 容易的课程|v. 剖开取出内脏|v. 使精神崩溃|n. 狭窄水道|n. 蚕丝腺囊
gutenberg	n. 古腾堡（人名, 德国活版印刷发明人）
guy	n. 男人；家伙|n. 人；大家|n. 有个性的对象|n. 伙计；老兄|n. 东西；部件|v. 嘲弄；挖苦|v. 滑稽模仿|n. 盖伊·福克斯像|n. 衣着古怪的人|n. 向导；引导者|n. 升降辅助绳|n. 稳定结构的支索
gwyn	n. 格温（女人名）
gym	n. 学校体育馆|n. 健身房|n. 体操|n. 体育课|v. 去健身房锻炼
gymnasium	n. 室内体育馆|n. 欧洲的升学中学|n. 古希腊公共锻炼场
gymnastics	n. 体操运动|n. 脑力或艺术上的复杂技巧
h	n. 小时|num. 第八个|num. 第八个|adj. 硬质铅芯的|adj. 高社会地位方言的|n. 命中数|n. 十六进制标记|n. 家庭电话|n. 命中数|n. 半年|n. 硬质铅笔等级|v. “有”的缩写
habit	n. 日常习惯|n. 不自觉的惯性行为|n. 难以戒除的坏习惯|n. 修道服或长袍|n. 特定活动的服装|n. 外表或装束|n. 生物或晶体的外形结构|v. 给……穿衣|v. 使……居住
habitat	n. 生存条件与环境|n. 物种自然分布地|n. 具有特定自然特征的区域|n. 人的生活空间
habitation	n. 住所；居所|n. 居住；居住状态|n. 团体分支或集会处|n. 农场；牧场；种植园
habitual	adj. 习惯性的；反复的|adj. 惯常做某事的|adj. 惯常的；通常的|adj. 表示惯常或反复动作的|n. 惯常做某事的人；惯犯|n. 惯常结构
habitually	adv. 出于习惯地|adv. 经常地；通常地
hack	n. 砍削工具|n. 实用窍门|v. 粗砍、砍倒|v. 未经授权侵入计算机系统|n. 砍击|n. 尝试|n. 临时装置或办法|n. 代码临时修补|n. 巧妙技术成果|n. 非法入侵计算机网络|n. 修改版游戏或软件|n. 受雇做例行工作的人
hacker	n. 入侵计算机系统的人|n. 进行改动或破解的人|n. 计算机技术爱好者|n. 善于用巧办法解决问题的人|n. 历史用法中的行事者|n. 砍切工具|n. 英国地区的农具|n. 出租车司机|v. 结巴地说话
haddad	n. (Haddad)人名；(法、西)阿达；(塞、瑞典、阿拉伯、英)哈达德
hagel	[人名] 哈格尔
hail	n. 冰雹|v. 下冰雹|v. 大声叫住|n. 一场冰雹|n. 密集猛烈的一阵|v. 降下冰雹|v. 连续倾泻|v. 称作；誉为|v. 招手叫停交通工具|v. 发信号联系|v. 来自；源于|adj. 健康的；完整无损的
haim	n. (Haim)人名；(德、罗)海姆；(法)安；(以)哈伊姆
hair	n. 一根毛发|n. 头发或体毛的整体|n. 无脊椎动物的细毛|n. 植物的毛状突起|n. 毛状细丝或纤维|n. 一点点；极小差距|n. 枪械中的保险或弹簧装置|n. 复杂性；棘手程度|v. 去毛|v. 长出毛发|v. 使长毛；装上毛|v. 给小提琴弓装弓毛
haircut	n. 理发|n. 发型|v. 给资产折价|n. 债务或投资的削减|n. 抵押品折价
hairstyle	n. 发型；发式
half	adj. 一半的|adv. 一半地|n. 一半；两个部分之一|n. 二分之一|adj. 不完整的；约一半的|adj. 同父异母或同母异父的|adv. 大约一半地|adv. 部分地；不完全地|n. 半份标准饮料量|n. 同父异母或同母异父的兄弟姐妹|n. 半程马拉松|prep. ……点半
half-century	n. 五十年；半个世纪|n. 板球单局五十分|n. 一局五十分
halfway	adj. 中途的；中间的|adv. 到一半；途中|adv. 还算；勉强达到可以接受的程度
hall	n. 走廊；门厅|n. 大厅；会议厅|n. 庄园宅邸|n. 大学宿舍楼|n. 专业教育或资格授予机构|n. 客厅|n. 大学食堂|n. 中世纪世俗建筑的主厅|n. 为人群让出的通道|n. 大学食堂提供的一餐|n. 英国西部大铁路的蒸汽机车车型
hallucination	n. 幻觉；虚假的感官知觉|n. 错误想象；误记或误判|n. 人工智能幻觉；自信编造的错误信息
hallucinogen	n. 迷幻剂
halo	n. 日月周围的光环|n. 名望或神圣感形成的光环|v. 给……围上光环|n. 星系周围的物质晕|n. 类似光环的效果|n. 圣像头上的光轮|n. 光环效应造成的偏差|n. 艺术史中的圆环光轮|n. 固定头颈的环形支具|n. 赛车驾驶舱前的防滚架|n. 头灯的简称|n. 高空跳离、低空开伞
halt	n. 停止；中止|v. 停下；停止|n. 小型铁路站|n. 无人值守的小火车站|n. 饥怒孤疲检查缩写|v. 使……停下|v. 使……中止|adj. 跛的；瘸的|n. 跛行；跛足|v. 跛行|v. 犹豫不决|v. 有缺陷；不顺畅
halve	vt. 二等分, 对半分享, 把...减半
ham	n. 火腿，腌制猪腿肉|n. 表演过火的人|v. 表演过火|n. 猪腿的一块肉|n. 业余无线电操作员|adv. 非常强烈地|n. 膝后部|n. 大腿后侧|n. 非垃圾邮件|n. 家，家乡（旧式）|n. 匈牙利国王的头衔缩写
hamburger	n. 汉堡|n. 汉堡肉饼|n. 碎牛肉|n. 三横线菜单图标|n. 汉堡式对折|n. 撞得稀烂的东西|n. 汉堡人|v. 弄伤弄坏
hamlet	n. 小村庄；小聚落|n. 没有自己教堂的小村庄|n. 哈氏鲈属的鱼|n. 抗肿瘤蛋白质复合物
hammer	n. 锤子|v. 反复敲打|n. 锤击；敲击|n. 锤骨|n. 击弦槌|n. 钟锤|n. 击锤|v. 锤炼成形|v. 反复强调|v. 猛击|v. 彻底击败|v. 使系统超负荷
hamper	n. 大篮子|v. 妨碍；拖累|n. 礼品篮|v. 束缚；限制|n. 洗衣篮|n. 束缚物；障碍|n. 碍事的物品|v. 装进篮子
hance	n. 拱腰, 椭圆拱脚尖最短半径的弧
hand	n. 手|n. 能力；手艺|v. 递给；传给|v. 管理；掌管|n. 类似手的部分|n. 一手牌|n. 一把；一组|n. 马高单位|n. 一方；一边|n. 工人；帮手|n. 老手；能手|n. 帮助
handbook	n. 领域参考手册|n. 非法下注场所
handbrake	n. 手煞车
handful	n. 一把的量|n. 少数，约五个|n. 一小群；一撮|n. 难以应付的人或事|n. 四英寸宽|n. 五年监禁
handicap	n. 妨碍因素|n. 比赛让步|v. 使处于不利地位|n. 身体或心理方面的不利条件|n. 让步赛|v. 给比赛者设置让步|v. 评估胜负机会|n. 古老纸牌游戏|n. 古英语交易游戏
handkerchief	n. 手帕|n. 脖巾；颈巾
handle	n. 把手；柄|v. 触摸；握住|v. 操纵；使用|v. 管理；控制|n. 手段；机会|n. 赌博总额|n. 网名；代号|v. 对待；处理|v. 论述；涉及|v. 经手；经营|v. 承受；应付|v. 手球犯规
handling	n. 处理；操作；搬运|v. 正在处理；处理这件事|n. 笔触；用笔方式|n. 销赃；处理赃物|n. 操作机构；操控装置
handsome	adj. 好看的；漂亮的|adj. 英俊的；有吸引力的|adj. 漂亮的；令人满意的|adj. 慷慨的；体面的|adj. 可观的；相当大的|adj. 灵巧的；熟练的|v. 使变漂亮
handwriting	n. 手写这一行为|n. 个人笔迹|n. 手写的文字|n. 可辨认的特色或标志|v. 正在手写；手写这一行为
handy	adj. 方便好用|adj. 在手边|adj. 手巧能干|adj. 爱动拳头的|adj. 小型散货船的|n. 小手|n. 手枪|n. 手淫（粗俗）|n. 手机
hang	v. 悬挂着|v. 挂起|v. 闲待；闲逛|v. 停止响应|n. 悬挂形态|n. 停止响应|n. 窍门；理解|n. 聚会；消遣场所|n. 一起消遣的人|n. 丝毫不在乎|v. 飘浮不散|v. 使倾斜悬着
hap	n. 运气；命运|n. 偶然事件；一件运气|v. 发生；降临|n. 正在发生的事|n. 被褥；小毯子|n. 一类慈鲷鱼|n. 医院获得性肺炎|n. 有害空气污染物|v. 碰巧降临于|v. 裹好；给……盖上
happen	v. 发生；出现|v. 碰巧；恰好|v. 偶然遇见；碰巧发现|adv. 也许；或许|v. 降临于；发生在……身上|v. 变得流行
happily	adv. 愉快地；高兴地|adv. 乐意地；愿意地|adv. 幸运地；幸好|adv. 或许；碰巧
happiness	n. 幸福；快乐|n. 兴盛；福祉|n. 好运；幸运|n. 自然流露的优美
happy	adj. 快乐的；满足的|adj. 幸运的；顺利的|adj. 愿意的；满意的|adj. 恰当的；巧妙的|adj. 爱使用……的|adj. 祝……快乐|adj. 幸运的；受祝福的|adj. 机敏熟练的|n. 令人高兴的人或事|v. 变得高兴起来|v. 使高兴或活跃起来
harassment	n. 持续攻击或批评造成的困扰|n. 故意纠缠或恐吓|n. 军事袭扰
harbor	n. 避难处；藏身处|n. 港口；避风港|v. 收容；为……提供藏身处|v. 在避风港停泊|v. 心里一直怀有|n. 材料混合箱|n. 黄道宫位；天体所在宫|n. 庇护；避难|v. 把猎物赶入藏身处
harbour	n. 港口；避风港|v. 停泊；窝藏
hard	adj. 坚硬的|adj. 困难的|adv. 费力地；困难地|v. 使变硬；使坚固|adj. 确凿的；明确的|adj. 大角度的；急转的|adj. 肌肉紧实的|adj. 难以欣赏的|adj. 实体的；纸质的|adj. 手动的；物理的|adj. 极端的；大幅的|adv. 用力地
hard-line	[法] 主张强硬路线者
hard-wire	v. 用固定电线连接|v. 把功能固定在硬件中|v. 使行为模式自动化
harden	v. 变硬|v. 使变硬|v. 加强；使更坚强|v. 加固系统以抵抗攻击|v. 变得或使变得不易受影响|v. 勃起|v. 使辅音变强|v. 使辅音失去腭化或软化特征
hardline	adj. 强硬的；不妥协的|adj. 硬商品类别的；五金零售类的|n. 五金商品集合|n. 广义耐用品商品类别|n. 实体有线连接；固定线路
hardly	adv. 几乎不；仅仅勉强|adv. 不大可能；才不是|intj. 才不是；哪有|adv. 艰难地|adv. 严厉地；苛刻地|adv. 用力地；奋力地
hardship	n. 艰难困苦；苦日子|n. 负担；障碍|v. 使受苦；使遭受困苦
hardware	n. 五金、工具和修理设备|n. 计算机硬件|n. 设备、器材|n. 电子设备|n. 金属配件|n. 枪械|n. 奖牌、奖杯|n. 五金店（菲律宾英语）
hardwire	[计]电路, 硬连线
hardworking	adj. 勤奋认真的
hardy	adj. 强健耐劳|adj. 植物耐寒耐逆境|adj. 勇敢果断|adj. 厚脸皮的|n. 耐受力强的事物|n. 铁砧工具|n. 铁砧方孔
hare	n. 野兔|n. 野兔肉|v. 飞快跑开|adj. 灰白而苍老的|adj. 寒冷的|n. 追踪游戏中的领跑者|v. 烦扰、粗暴催逼
harlan	n. 哈伦（男子名）；哈尔纶聚偏氯乙烯纤维
harm	n. 身体损伤或物质损坏|n. 心理或抽象伤害|n. 不利后果、损失或祸害|v. 伤害或损害|n. 造成伤害或损失的事物
harmful	adj. 有害的；会造成伤害的
harmfully	adv. 有害地；伤害地
harmless	adj. 无害的；安全的|adj. 无恶意的；不冒犯人的|adj. 未受伤的（旧）
harmonious	adj. 关系和睦的|adj. 搭配协调的|adj. 和谐悦耳的
harmonisation	n. 和谐, 协调, 相称
harmonise	vi.vt. 以和声歌唱/演奏, (使)协调, (使)一致, (使)相称, (使)调和
